              Procedure           Image            Address        Calls Instructions       Atomic
 __kmp_read_system_time       libomp.so       7f3766372470            1           26            0
__kmp_gtid_get_specific       libomp.so       7f3766372310            2           28            0
__kmp_gtid_set_specific       libomp.so       7f3766372250            2           34            0
        __kmp_resume_64       libomp.so       7f3766371bd0            3          144            1
       __kmp_suspend_64       libomp.so       7f37663712d0            3          219            4
__kmp_suspend_uninitialize_thread       libomp.so       7f3766370eb0            8          127            0
__kmp_suspend_initialize       libomp.so       7f3766370d80            1           15            0
  __kmp_register_atfork       libomp.so       7f3766370bb0            1           18            0
   __kmp_remove_signals       libomp.so       7f3766370890            1          596            0
  __kmp_install_signals       libomp.so       7f376636eef0            2          117            0
      __kmp_reap_worker       libomp.so       7f376636eec0            7           80            0
     __kmp_reap_monitor       libomp.so       7f376636ec30            1           17            0
_ZL20__kmp_launch_monitorPv       libomp.so       7f376636e4f0            1          144            0
   __kmp_create_monitor       libomp.so       7f376636ddd0            1           82            0
_ZL19__kmp_launch_workerPv       libomp.so       7f376636da70            7          707            0
_ZL20__kmp_set_stack_infoiP8kmp_info       libomp.so       7f376636d760            9          450            0
    __kmp_create_worker       libomp.so       7f376636d150            8          502            0
            __kmp_yield       libomp.so       7f376636d130       165176       491559            0
__kmp_affinity_determine_capable       libomp.so       7f376636cb60            1           49            0
__kmp_affinity_bind_thread       libomp.so       7f376636caa0            8          336            0
__kmp_get_system_affinity       libomp.so       7f376636c9c0            3           72            0
__kmp_set_system_affinity       libomp.so       7f376636c8e0           19          456            0
      __kmp_query_cpuid       libomp.so       7f376636c270            1          307            0
__kmp_common_destroy_gtid       libomp.so       7f376636b6e0            7          154            0
__kmp_common_initialize       libomp.so       7f376636b490            1           13            0
   __kmp_task_team_wait       libomp.so       7f3766368c80            1           15            0
   __kmp_task_team_sync       libomp.so       7f3766368c50            8           56            0
__kmp_wait_to_unref_task_teams       libomp.so       7f3766368b40            1           63            0
  __kmp_reap_task_teams       libomp.so       7f3766368a10            1           42            0
   __kmp_free_task_team       libomp.so       7f37663689c0            2           34            0
  __kmp_task_team_setup       libomp.so       7f3766366680            1           56            0
__kmp_init_implicit_task       libomp.so       7f3766366260           34         1298            0
__kmp_pop_current_task_from_thread       libomp.so       7f3766366050            1            4            0
        __kmp_str_split       libomp.so       7f3766365620           21          588            0
       __kmp_str_format       libomp.so       7f37663650a0            3          126            0
    __kmp_str_buf_print       libomp.so       7f3766364e90            9          396            0
     __kmp_str_buf_free       libomp.so       7f3766364d80            9           81            0
_ZL13__kmp_stg_cmpPKvS0_       libomp.so       7f3766364b50          299         8952            0
   _ZL14__kmp_stg_initv       libomp.so       7f3766358150            1         5884            0
_Z20__kmp_env_initializePKc       libomp.so       7f3766357a40            1        26148            0
_Z25__kmp_default_tp_capacityiii       libomp.so       7f3766357a00            1           17            0
_Z30__kmp_initial_threads_capacityi       libomp.so       7f37663579d0            1           14            0
_ZL17__kmp_reap_threadP8kmp_infoi       libomp.so       7f3766357600            8          613            1
          __kmp_cleanup       libomp.so       7f3766356d80            1          275            0
 __kmp_invoke_task_func       libomp.so       7f3766356940            8          368            0
_ZL26__kmp_do_middle_initializev       libomp.so       7f3766356760            1          459            0
_Z30__kmp_register_library_startupv       libomp.so       7f3766356410            1           56            0
__kmp_internal_end_library       libomp.so       7f3766356180            2          418            0
__kmp_internal_end_fini       libomp.so       7f3766356170            1            2            0
__kmp_internal_end_dtor       libomp.so       7f3766356150            1            2            0
__kmp_internal_end_dest       libomp.so       7f3766355fc0            8          194            0
    __kmp_launch_thread       libomp.so       7f3766355e50            7          567            0
        __kmp_reap_team       libomp.so       7f3766355d60           10          601            0
_ZL22__kmp_partition_placesP8kmp_team       libomp.so       7f3766355930            1           27            0
  __kmp_allocate_thread       libomp.so       7f3766355420            7         1089            0
_Z36__kmp_unregister_root_current_threadi       libomp.so       7f3766355210            1           79            0
_ZL21__kmp_initialize_infoP8kmp_infoP8kmp_teamii       libomp.so       7f3766354fb0           16         1424            0
      __kmp_free_thread       libomp.so       7f3766354510            7          340            0
        __kmp_free_team       libomp.so       7f37663540f0            3          241            0
        __kmp_join_call       libomp.so       7f37663538d0            1          140            4
_ZL24__kmp_alloc_argv_entriesiP8kmp_teami       libomp.so       7f37663537e0            1           13            0
    __kmp_internal_fork       libomp.so       7f37663536c0            1           39            0
        __kmp_fork_call       libomp.so       7f37663521e0            1          346            2
    __kmp_allocate_team       libomp.so       7f37663510a0           11         1959            0
__kmp_parallel_initialize       libomp.so       7f3766350b10            1           61            0
__kmp_check_stack_overlap       libomp.so       7f37663503d0            9          234            0
    __kmp_register_root       libomp.so       7f376634fa40            1          411            0
_ZL26__kmp_do_serial_initializev       libomp.so       7f376634f5e0            1          210            0
__kmp_get_global_thread_id_reg       libomp.so       7f376634f540           10          211            0
    __kmp_i18n_catclose       libomp.so       7f376634e8a0            1            7            0
      __kmp_env_blk_var       libomp.so       7f376634d150            2          462            0
     __kmp_env_blk_free       libomp.so       7f376634d120            1           11            0
     __kmp_env_blk_init       libomp.so       7f376634cdb0            1          770            0
        __kmp_env_unset       libomp.so       7f376634cda0            1            1            0
          __kmp_env_set       libomp.so       7f376634cd10            1            9            0
          __kmp_env_get       libomp.so       7f376634cc30            2           56            0
 _Z17__kmp_itt_destroyv       libomp.so       7f376634c760            1            1            0
_Z20__kmp_itt_initializev       libomp.so       7f376634c6a0            1           35            0
       __kmpc_fork_call       libomp.so       7f3766348fb0            1           46            0
__kmpc_bound_num_threads       libomp.so       7f3766348f20            8           80            0
 __kmp_free_fast_memory       libomp.so       7f3766341f50            8         1728            2
__kmp_initialize_fast_memory       libomp.so       7f3766341f20            8           64            0
        ___kmp_allocate       libomp.so       7f3766341b10          106         3392            0
            ___kmp_free       libomp.so       7f3766340b90          105          735            0
    __kmp_finalize_bget       libomp.so       7f3766340b00            8          160            0
  __kmp_initialize_bget       libomp.so       7f37663409b0            8         1376            0
            frame_dummy       libomp.so       7f3766340970            1            3            0
  __do_global_dtors_aux       libomp.so       7f3766340930            1           12            0
     register_tm_clones       libomp.so       7f37663408f0            1           13            0
   deregister_tm_clones       libomp.so       7f37663408c0            1            9            0
           _GLOBAL__I_a       libomp.so       7f3766340890            1            5            0
                   .plt       libomp.so       7f376633fe60           69         5674            0
                  _init       libomp.so       7f376633fe38            1            6            0
                realloc ld-linux-x86-64.so.2       7f37797d2db0            0          755            0
                 calloc ld-linux-x86-64.so.2       7f37797d2c00           15          120            0
                 malloc ld-linux-x86-64.so.2       7f37797d2bf0           32           96            0
        __libc_memalign ld-linux-x86-64.so.2       7f37797d2ae0           33         1055            0
_dl_find_dso_for_object ld-linux-x86-64.so.2       7f37797cf220            2           70            0
         __tls_get_addr ld-linux-x86-64.so.2       7f37797ce340           52          572            0
       _dl_allocate_tls ld-linux-x86-64.so.2       7f37797cde30            8          168            0
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f37797cdc00            9         1161            0
_dl_get_tls_static_info ld-linux-x86-64.so.2       7f37797cdaa0            1            5            0
        _dl_debug_state ld-linux-x86-64.so.2       7f37797cb970            2            2            0
                  .text ld-linux-x86-64.so.2       7f37797bbae0            0        10611            0
                   .plt ld-linux-x86-64.so.2       7f37797bba70            0           90            0
                  _fini          openMP             400804            1            3            0
        __libc_csu_init          openMP             400790            1           34            0
                   main          openMP             400710            1           14            0
            frame_dummy          openMP             4006e0            1            3            0
  __do_global_dtors_aux          openMP             4006c0            1            8            0
     register_tm_clones          openMP             400680            1           12            0
   deregister_tm_clones          openMP             400650            1            8            0
                 _start          openMP             400620            1           11            0
                   .plt          openMP             4005b0            5           46            0
                  _init          openMP             400588            1            6            0
